Wavelength,Flux,BestFit,SkyFlux
4434.044,51.156,51.638,14.250
4435.064,50.166,51.211,12.447
4436.087,49.607,50.999,11.825
4437.108,50.755,51.121,12.409
4438.131,50.831,51.638,13.512
4439.152,50.956,51.857,14.876
4440.173,51.750,51.517,15.580
4441.197,50.231,51.271,15.317
4442.219,47.875,51.555,14.425
4443.243,49.513,51.918,13.358
4444.265,50.992,51.471,12.161
4445.290,49.934,51.560,12.746
4446.313,51.260,51.954,13.622
4447.336,50.880,51.630,14.047
4448.361,52.161,51.131,13.832
4449.384,52.924,51.474,13.229
4450.410,49.804,51.324,13.175
4451.434,48.613,51.350,13.465
4452.461,49.488,51.561,13.178
4453.485,50.289,51.184,12.382
4454.510,50.849,50.691,11.527
4455.537,50.978,50.991,11.100
4456.562,50.816,50.918,11.131
4457.589,47.723,50.482,11.448
4458.615,53.275,50.698,11.505
4459.643,50.734,51.056,11.691
4460.669,50.198,51.132,11.854
4461.695,48.498,51.068,11.970
4462.724,47.016,50.782,11.998
4463.751,49.164,50.437,11.686
4464.780,51.868,50.875,11.569
4465.807,50.739,51.549,11.799
4466.837,48.616,51.654,12.419
4467.864,49.526,51.175,12.966
4468.892,50.348,51.061,12.114
4469.923,49.846,51.251,11.566
4470.951,50.259,51.342,11.506
4471.982,43.716,51.351,11.293
4473.011,49.913,51.158,11.424
4474.042,51.531,50.831,12.305
4475.072,50.584,51.140,13.108
4476.101,52.268,50.904,13.246
4477.133,49.266,50.849,13.297
4478.163,46.062,51.367,12.629
4479.196,46.133,51.682,12.303
4480.226,47.664,51.098,12.061
4481.259,49.431,50.930,11.243
4482.290,51.771,51.345,10.639
4483.322,52.902,51.149,11.489
4484.355,51.644,51.177,12.489
4485.387,53.860,51.622,12.698
4486.421,47.267,51.615,13.014
4487.453,51.019,51.230,13.174
4488.488,49.921,50.902,13.141
4489.521,50.298,51.164,12.413
4490.554,49.129,51.402,12.062
4491.589,49.753,51.193,12.414
4492.622,52.356,50.777,13.408
4493.658,52.075,50.645,13.820
4494.692,50.802,51.553,13.160
4495.729,49.982,51.945,12.881
4496.763,48.464,51.700,13.362
4497.800,50.668,51.456,13.454
4498.834,51.038,51.519,13.620
4499.869,46.540,51.438,13.923
4500.907,51.879,51.396,13.556
4501.943,47.502,51.368,12.856
4502.981,49.463,51.322,12.835
4504.017,49.797,51.216,13.265
4505.055,52.067,51.052,13.205
4506.092,50.044,51.025,13.600
4507.128,48.861,51.506,13.927
4508.168,50.218,51.264,14.167
4509.205,50.359,51.068,13.884
4510.244,49.804,51.180,12.970
4511.282,49.496,50.999,13.064
4512.322,50.121,50.950,13.298
4513.360,53.171,51.235,12.867
4514.399,48.503,51.334,12.250
4515.440,46.948,50.856,12.128
4516.478,49.529,50.427,12.607
4517.520,47.145,50.645,12.512
4518.559,51.332,50.358,12.155
4519.601,54.180,50.422,12.014
4520.641,47.155,50.351,12.601
4521.681,47.728,50.185,13.468
4522.724,50.094,49.991,13.562
4523.764,47.359,49.942,13.359
4524.807,46.557,50.571,13.144
4525.848,48.221,50.079,13.039
4526.892,51.089,49.567,12.892
4527.933,48.576,49.802,13.535
4528.975,47.397,50.084,13.687
4530.019,50.299,49.649,13.743
4531.061,48.398,49.706,13.453
4532.106,49.486,49.598,13.570
4533.149,44.869,49.458,14.256
4534.194,51.092,48.957,14.705
4535.237,49.958,48.555,13.886
